"i","sum_density","level"
"-1",0.000347665616551477,"Level"
"-10",0.000247578511068737,"Level"
"-100",0.000214560199234658,"Level"
"-11",0.000255134666098441,"Level"
"-12",0.000264719431477283,"Level"
"-13",0.000274012034352474,"Level"
"-14",0.00024493016264993,"Level"
"-15",0.000237184974803912,"Level"
"-16",0.000260629479409112,"Level"
"-17",0.000277501305804949,"Level"
"-18",0.00026377820598719,"Level"
"-19",0.000245570176321701,"Level"
"-2",0.00029929147373293,"Level"
"-20",0.000283098462513875,"Level"
"-21",0.000242557687975024,"Level"
"-22",0.000245759477527008,"Level"
"-23",0.000271060506052293,"Level"
"-24",0.000257790421018275,"Level"
"-25",0.0002880360772389,"Level"
"-26",0.000278353550449094,"Level"
"-27",0.000244759844896477,"Level"
"-28",0.000285718349534431,"Level"
"-29",0.000289300726481477,"Level"
"-3",0.000272930287884617,"Level"
"-30",0.000290065264636171,"Level"
"-31",0.000300436456025764,"Level"
"-32",0.000241174917211864,"Level"
"-33",0.000267542781624315,"Level"
"-34",0.000267525721116849,"Level"
"-35",0.000279732955410969,"Level"
"-36",0.000261001370524811,"Level"
"-37",0.000274571090885181,"Level"
"-38",0.000266954864662505,"Level"
"-39",0.000229819028519457,"Level"
"-4",0.000245974200041495,"Level"
"-40",0.000267804803847807,"Level"
"-41",0.000238650421907909,"Level"
"-42",0.00027035231484328,"Level"
"-43",0.000242079113909158,"Level"
"-44",0.000282702208447378,"Level"
"-45",0.000242863148771144,"Level"
"-46",0.000294924723079061,"Level"
"-47",0.000272624573157062,"Level"
"-48",0.000224689273735726,"Level"
"-49",0.000232405625865336,"Level"
"-5",0.000287618116379959,"Level"
"-50",0.000240235835461715,"Level"
"-51",0.000288537744569682,"Level"
"-52",0.000265116187288121,"Level"
"-53",0.000296427976119506,"Level"
"-54",0.000237951208852824,"Level"
"-55",0.000232851903964748,"Level"
"-56",0.000281112501197774,"Level"
"-57",0.0002431676915291,"Level"
"-58",0.000273857807050294,"Level"
"-59",0.00026586786458531,"Level"
"-6",0.000264959232051215,"Level"
"-60",0.000359425554127965,"Level"
"-61",0.000245999336200413,"Level"
"-62",0.000271238139918856,"Level"
"-63",0.000235967133570842,"Level"
"-64",0.000254979528530052,"Level"
"-65",0.000272013226189489,"Level"
"-66",0.000245183208122461,"Level"
"-67",0.000240801518433603,"Level"
"-68",0.000223805814653304,"Level"
"-69",0.000272604851559333,"Level"
"-7",0.000339758279724053,"Level"
"-70",0.000309552024909097,"Level"
"-71",0.000256749638493426,"Level"
"-72",0.000257971413819686,"Level"
"-73",0.000207855066570971,"Level"
"-74",0.000284069614844542,"Level"
"-75",0.000248276982892668,"Level"
"-76",0.000272540416091831,"Level"
"-77",0.000273009902624903,"Level"
"-78",0.000279019505482302,"Level"
"-79",0.000250241072812464,"Level"
"-8",0.000256157854291226,"Level"
"-80",0.000248943764007948,"Level"
"-81",0.000259141949826151,"Level"
"-82",0.000276851602304806,"Level"
"-83",0.00026585351286687,"Level"
"-84",0.000314630692831068,"Level"
"-85",0.000255857617199833,"Level"
"-86",0.000245995797843057,"Level"
"-87",0.000242000395404692,"Level"
"-88",0.000248064109663803,"Level"
"-89",0.000304374540453242,"Level"
"-9",0.000262943086359402,"Level"
"-90",0.000251897480290882,"Level"
"-91",0.000298210734913045,"Level"
"-92",0.000300416689471831,"Level"
"-93",0.000289086791535009,"Level"
"-94",0.000293104041722632,"Level"
"-95",0.000282767729018055,"Level"
"-96",0.000292549935813022,"Level"
"-97",0.000255408661489393,"Level"
"-98",0.000295252693569942,"Level"
"-99",0.000228607724088034,"Level"
"0",0.000282936120276455,"Level"
"1",0.000328760138724099,"Level"
"10",0.000292399955687362,"Level"
"100",0.000270020022404097,"Level"
"11",0.0003007813335291,"Level"
"12",0.000260161704577798,"Level"
"13",0.000298126662923963,"Level"
"14",0.000302097514887925,"Level"
"15",0.0002535182495727,"Level"
"16",0.000282708367937637,"Level"
"17",0.000255316403472614,"Level"
"18",0.000244760171359517,"Level"
"19",0.00032746661906818,"Level"
"2",0.00028893135268051,"Level"
"20",0.000339273502893753,"Level"
"21",0.000378183241410584,"Level"
"22",0.000285814530593164,"Level"
"23",0.00027395359631119,"Level"
"24",0.000288452566101662,"Level"
"25",0.000298233011765817,"Level"
"26",0.000275449553513953,"Level"
"27",0.000253963026968209,"Level"
"28",0.000283406403960805,"Level"
"29",0.000244198262966281,"Level"
"3",0.000269288513547929,"Level"
"30",0.000250726489736344,"Level"
"31",0.000264501156057453,"Level"
"32",0.00030203120066135,"Level"
"33",0.000298953939886762,"Level"
"34",0.000291305533784708,"Level"
"35",0.000274534721504869,"Level"
"36",0.000271510542329458,"Level"
"37",0.000257122405936053,"Level"
"38",0.000289417658004374,"Level"
"39",0.000265631013064023,"Level"
"4",0.000242310194977798,"Level"
"40",0.000273164667545571,"Level"
"41",0.000243849691655908,"Level"
"42",0.00029680634336466,"Level"
"43",0.000255985156379133,"Level"
"44",0.000364669286402723,"Level"
"45",0.000298210067031734,"Level"
"46",0.000311046231783469,"Level"
"47",0.0003187130671121,"Level"
"48",0.000308875627632512,"Level"
"49",0.000277277822321293,"Level"
"5",0.000269733703012417,"Level"
"50",0.000253893510976913,"Level"
"51",0.000287045315799206,"Level"
"52",0.000287787162320341,"Level"
"53",0.000263637041707932,"Level"
"54",0.000240790564658289,"Level"
"55",0.000284268434994723,"Level"
"56",0.000322378225542847,"Level"
"57",0.000278516862685407,"Level"
"58",0.000267159924485512,"Level"
"59",0.00022698431549548,"Level"
"6",0.000223662011305306,"Level"
"60",0.000306457623123193,"Level"
"61",0.000300818256991769,"Level"
"62",0.000335982710885185,"Level"
"63",0.000261250061174151,"Level"
"64",0.000274654659036569,"Level"
"65",0.000268989819618231,"Level"
"66",0.000288912887446704,"Level"
"67",0.000293387538360185,"Level"
"68",0.000246712449677785,"Level"
"69",0.000313863550506719,"Level"
"7",0.000251375050955782,"Level"
"70",0.000298858671116637,"Level"
"71",0.000338845890412315,"Level"
"72",0.00027846370396957,"Level"
"73",0.000342671706314236,"Level"
"74",0.00028994676256571,"Level"
"75",0.000317687979868624,"Level"
"76",0.000257426079989243,"Level"
"77",0.000315642677365238,"Level"
"78",0.000257223422322344,"Level"
"79",0.000326796493620455,"Level"
"8",0.00028338889565976,"Level"
"80",0.000280681515054585,"Level"
"81",0.000289772802336902,"Level"
"82",0.000240740344857964,"Level"
"83",0.000256550371160749,"Level"
"84",0.000225848812700019,"Level"
"85",0.000249094282583212,"Level"
"86",0.000280512362743922,"Level"
"87",0.000268024694638279,"Level"
"88",0.000241236230870394,"Level"
"89",0.000255977021763185,"Level"
"9",0.000269085965767013,"Level"
