geneName	chr	start	end	strand
RNA5SP37	chr13	98015226	98015355	(-)
RN7SKP9	chr13	99857962	99858260	(+)
RNU6-70P	chr13	27917785	27917883	(-)
RN7SL49P	chr13	45576285	45576580	(+)
RNA5SP29	chr13	51601883	51601988	(-)
RNA5SP393	chr15	42144111	42144227	(-)
RMRP	chr9	35657748	35658015	(-)
RNU6-27P	chr20	17168155	17168261	(+)
RNA5SP490	chr21	33935385	33935520	(+)
RNA5SP34	chr13	90787966	90788095	(-)
RNU6-737P	chr18	54951833	54951939	(-)
RNA5SP481	chr20	30596154	30596275	(+)
RNA5SP482	chr20	30638391	30638508	(+)
RNA5SP283	chr9	66458144	66458262	(-)
RNA5SP284	chr9	68408924	68409041	(+)
RN7SKP185	chr20	36603558	36603883	(-)
RNU6-820P	chr9	71550789	71550895	(-)
RN7SL354P	chr15	50981097	50981388	(+)
RNA5SP286	chr9	76365888	76365993	(-)
RN7SKP173	chr20	37390171	37390485	(+)
RN7SKP214	chr22	37451073	37451387	(-)
RNU6-1251P	chr20	42101653	42101759	(+)
RNU6-39P	chr18	66526171	66526277	(+)
RNA5SP290	chr9	101908122	101908248	(-)
RN7SKP80	chr22	42961054	42961336	(-)
RNA5SP400	chr15	86681500	86681610	(-)
RNU6-32P	chr4	39299225	39299331	(-)
RNA5SP259	chr8	28387928	28388036	(+)
RNU6-707P	chrX	48013408	48013502	(-)
RNU6-19P	chr15	65845419	65845525	(-)
RNY4P18	chr9	113859605	113859693	(-)
RNA5SP295	chr9	115014538	115014658	(+)
RNU6-553P	chr4	106328154	106328249	(+)
RNU6-1	chr15	68132277	68132383	(-)
RN7SL3	chr14	50320336	50320632	(-)
RN7SL2	chr14	50329271	50329567	(-)
RNU6-383P	chrX	150123967	150124060	(-)
RNU6-431P	chr4	109573306	109573412	(+)
RNU6-29P	chrX	48635380	48635486	(-)
RNU6-13P	chr8	57829643	57829749	(+)
RN7SKP193	chr14	50535286	50535591	(+)
RNA5SP252	chr8	10544079	10544197	(+)
RNU6-358P	chr5	31820671	31820745	(-)
RNA5SP202	chr6	4428197	4428315	(+)
RNA5SP429	chr16	68776383	68776491	(+)
RNU6-22P	chr16	69209574	69209680	(-)
RNU6-945P	chr19	40805385	40805491	(-)
RNU6-761P	chr6	41986146	41986252	(-)
RNA5SP263	chr8	32114012	32114139	(+)
