"i","sum_density","level"
"-1",0.000413390370475523,"Level"
"-10",0.000262064278983646,"Level"
"-100",0.00027756606956276,"Level"
"-11",0.000266158575770794,"Level"
"-12",0.000248977573422324,"Level"
"-13",0.000282070954673121,"Level"
"-14",0.000250715389255692,"Level"
"-15",0.000315246118339843,"Level"
"-16",0.000333682444307334,"Level"
"-17",0.000294694746291546,"Level"
"-18",0.000286124717544529,"Level"
"-19",0.0002223847160151,"Level"
"-2",0.000342677801548129,"Level"
"-20",0.000267987479164063,"Level"
"-21",0.000276880226310115,"Level"
"-22",0.000245623481113791,"Level"
"-23",0.000335579102468021,"Level"
"-24",0.000312234520147171,"Level"
"-25",0.000316942673158752,"Level"
"-26",0.000284638888005284,"Level"
"-27",0.000278546610645093,"Level"
"-28",0.000277812394941985,"Level"
"-29",0.000291494809897316,"Level"
"-3",0.000307478405753761,"Level"
"-30",0.000297742511786397,"Level"
"-31",0.000256307258582315,"Level"
"-32",0.000255277179571528,"Level"
"-33",0.000274556023370954,"Level"
"-34",0.000280138069834543,"Level"
"-35",0.000260274422483656,"Level"
"-36",0.000284527920573881,"Level"
"-37",0.000318353667479723,"Level"
"-38",0.000271576843306054,"Level"
"-39",0.000250174095828677,"Level"
"-4",0.000269231814988406,"Level"
"-40",0.000271404441816959,"Level"
"-41",0.00030217477388653,"Level"
"-42",0.000297924968566498,"Level"
"-43",0.00028100147954737,"Level"
"-44",0.000263031024100459,"Level"
"-45",0.000270475910282738,"Level"
"-46",0.000278562946644734,"Level"
"-47",0.000308351390179006,"Level"
"-48",0.000293389345827549,"Level"
"-49",0.000310256610535764,"Level"
"-5",0.000270924687092997,"Level"
"-50",0.000274087139903363,"Level"
"-51",0.000307385320255434,"Level"
"-52",0.00031103979915218,"Level"
"-53",0.000321349690577491,"Level"
"-54",0.000265183683419497,"Level"
"-55",0.000276380778093757,"Level"
"-56",0.000219797388237256,"Level"
"-57",0.00027323863609906,"Level"
"-58",0.000287078939856262,"Level"
"-59",0.000284519106180279,"Level"
"-6",0.000235711221539531,"Level"
"-60",0.000294402658977203,"Level"
"-61",0.000324409871323089,"Level"
"-62",0.000273426426907145,"Level"
"-63",0.000325374796947902,"Level"
"-64",0.000304700873622076,"Level"
"-65",0.000347837913415036,"Level"
"-66",0.000305004450209344,"Level"
"-67",0.000263725211246354,"Level"
"-68",0.000278774156737195,"Level"
"-69",0.000248919258144594,"Level"
"-7",0.000239411396963233,"Level"
"-70",0.000244146614325043,"Level"
"-71",0.000336077905633964,"Level"
"-72",0.000286999925862834,"Level"
"-73",0.00028591686959343,"Level"
"-74",0.000244114120600952,"Level"
"-75",0.000243548142265386,"Level"
"-76",0.000264108756966898,"Level"
"-77",0.000266495978245592,"Level"
"-78",0.000331575534300171,"Level"
"-79",0.000284668553755247,"Level"
"-8",0.000263091553085673,"Level"
"-80",0.000326617158987243,"Level"
"-81",0.00027540743490843,"Level"
"-82",0.000275990534878486,"Level"
"-83",0.000258406992834075,"Level"
"-84",0.000289852900552244,"Level"
"-85",0.000285263469501161,"Level"
"-86",0.000316781888669735,"Level"
"-87",0.000259274631062128,"Level"
"-88",0.000236815923955806,"Level"
"-89",0.000283586098894824,"Level"
"-9",0.000240213610646585,"Level"
"-90",0.000286690800806208,"Level"
"-91",0.00028786006055769,"Level"
"-92",0.000299367695925272,"Level"
"-93",0.000294953390322788,"Level"
"-94",0.000262351544629655,"Level"
"-95",0.000290821150550988,"Level"
"-96",0.000283225662834576,"Level"
"-97",0.000263010010983074,"Level"
"-98",0.00025854364090484,"Level"
"-99",0.000258200544591554,"Level"
"0",0.000372775430488557,"Level"
"1",0.000304848573505784,"Level"
"10",0.000264204170519705,"Level"
"100",0.000226765807978925,"Level"
"11",0.000274394234995407,"Level"
"12",0.000258216101656041,"Level"
"13",0.000283166977292198,"Level"
"14",0.000290219111121232,"Level"
"15",0.000307868878277252,"Level"
"16",0.00026964516265029,"Level"
"17",0.000296826503505607,"Level"
"18",0.000295499707709116,"Level"
"19",0.00028121287097834,"Level"
"2",0.000247766463196699,"Level"
"20",0.00029223242676903,"Level"
"21",0.00030671790194699,"Level"
"22",0.000286592868224142,"Level"
"23",0.000274588455547692,"Level"
"24",0.000330032624178325,"Level"
"25",0.000260831659108221,"Level"
"26",0.000287135171924341,"Level"
"27",0.000314140374717165,"Level"
"28",0.000269911161582642,"Level"
"29",0.000307125319645373,"Level"
"3",0.000292776216074319,"Level"
"30",0.000305982136530752,"Level"
"31",0.000307320731549965,"Level"
"32",0.000330978736673319,"Level"
"33",0.000299256655498132,"Level"
"34",0.000306607298099149,"Level"
"35",0.000269408678731908,"Level"
"36",0.000351102342792782,"Level"
"37",0.000296089906456098,"Level"
"38",0.000299870024468757,"Level"
"39",0.000314433618693142,"Level"
"4",0.000292941616651963,"Level"
"40",0.000252019665125287,"Level"
"41",0.000263565351444032,"Level"
"42",0.000280488696800295,"Level"
"43",0.000270000496672332,"Level"
"44",0.000228554183670919,"Level"
"45",0.000224808421923122,"Level"
"46",0.000283283877239132,"Level"
"47",0.000228959545415568,"Level"
"48",0.000259401006833744,"Level"
"49",0.000253074658072349,"Level"
"5",0.000241758869154512,"Level"
"50",0.000239410417761065,"Level"
"51",0.000243901137969452,"Level"
"52",0.000247504225117968,"Level"
"53",0.000275236928822293,"Level"
"54",0.000226700599108601,"Level"
"55",0.000253427740794487,"Level"
"56",0.00026170969462687,"Level"
"57",0.000280837333953181,"Level"
"58",0.000236239869337181,"Level"
"59",0.000282386317626141,"Level"
"6",0.000256733663554958,"Level"
"60",0.000326550300687483,"Level"
"61",0.000266202690204154,"Level"
"62",0.000277162139603057,"Level"
"63",0.000231130358267554,"Level"
"64",0.000266397961335268,"Level"
"65",0.000283142103697647,"Level"
"66",0.000236713747832226,"Level"
"67",0.000297862473312819,"Level"
"68",0.000284036647510151,"Level"
"69",0.000275239266390228,"Level"
"7",0.000297471934795493,"Level"
"70",0.000267843504899466,"Level"
"71",0.000311757810987462,"Level"
"72",0.000266232847442753,"Level"
"73",0.000239454255119698,"Level"
"74",0.000267278918907146,"Level"
"75",0.000299476878302641,"Level"
"76",0.00027748369057788,"Level"
"77",0.000283483484870626,"Level"
"78",0.00028534408370104,"Level"
"79",0.000277051785816467,"Level"
"8",0.000263317253169721,"Level"
"80",0.000274955645798134,"Level"
"81",0.000255229003403393,"Level"
"82",0.000230130083108309,"Level"
"83",0.000258422465522901,"Level"
"84",0.000299499758622602,"Level"
"85",0.000303991965136532,"Level"
"86",0.000311353479094234,"Level"
"87",0.000240765704141983,"Level"
"88",0.000293909913982694,"Level"
"89",0.000263768052282581,"Level"
"9",0.000246720060474074,"Level"
"90",0.000227911771351305,"Level"
"91",0.000258861811889094,"Level"
"92",0.000291090033238107,"Level"
"93",0.00032568922889489,"Level"
"94",0.000259782364460512,"Level"
"95",0.000325068874598583,"Level"
"96",0.000265621607977864,"Level"
"97",0.000268517297166609,"Level"
"98",0.000230607952394152,"Level"
"99",0.000285711572631952,"Level"
